Instrument Name,DustTrak DRX
Model Number,8533
Serial Number,8533103404
Firmware Version,3.0
Calibration Date,03/12/2014
Test Name,MANUAL_001
Test Start Time,15:40:11
Test Start Date,05/04/2018
Test Length [D:H:M],0:1:20
Test Interval [M:S],0:1
PM1 Average [mg/m3],0.015
PM1 Minimum [mg/m3],0.008
PM1 Maximum [mg/m3],0.131
PM1 TWA [mg/m3],0.002
PM2.5 Average [mg/m3],0.015
PM2.5 Minimum [mg/m3],0.008
PM2.5 Maximum [mg/m3],0.131
PM2.5 TWA [mg/m3],0.002
PM4 Average [mg/m3],0.015
PM4 Minimum [mg/m3],0.008
PM4 Maximum [mg/m3],0.131
PM4 TWA [mg/m3],0.002
PM10 Average [mg/m3],0.015
PM10 Minimum [mg/m3],0.008
PM10 Maximum [mg/m3],0.131
PM10 TWA [mg/m3],0.002
TOTAL Average [mg/m3],0.015
TOTAL Minimum [mg/m3],0.008
TOTAL Maximum [mg/m3],0.131
TOTAL TWA [mg/m3],0.002
Photometric User Cal,1.00
Size Correction User Cal,1.00
Flow User Cal,0.00
Errors,
Number of Samples,4849

Elapsed Time [s],PM1 [mg/m3],PM2.5 [mg/m3],PM4 [mg/m3],PM10 [mg/m3],TOTAL [mg/m3],Alarms,Errors
193,0.020,0.020,0.020,0.020,0.020,,
194,0.024,0.024,0.024,0.024,0.024,,
195,0.014,0.014,0.014,0.014,0.014,,
196,0.013,0.013,0.013,0.013,0.013,,
197,0.013,0.014,0.014,0.014,0.014,,
198,0.014,0.014,0.014,0.014,0.014,,
199,0.014,0.014,0.014,0.014,0.014,,
200,0.013,0.013,0.013,0.013,0.013,,
201,0.014,0.014,0.014,0.014,0.014,,
202,0.014,0.014,0.014,0.014,0.014,,
203,0.014,0.014,0.014,0.014,0.014,,
204,0.013,0.013,0.013,0.013,0.013,,
205,0.013,0.013,0.013,0.013,0.013,,
206,0.015,0.015,0.015,0.015,0.015,,
207,0.014,0.014,0.014,0.014,0.014,,
208,0.015,0.015,0.015,0.015,0.015,,
209,0.015,0.015,0.015,0.015,0.015,,
210,0.013,0.013,0.013,0.013,0.013,,
211,0.013,0.013,0.013,0.013,0.013,,
212,0.013,0.013,0.013,0.013,0.013,,
213,0.015,0.015,0.015,0.015,0.015,,
214,0.017,0.017,0.017,0.017,0.017,,
215,0.013,0.013,0.013,0.013,0.013,,
216,0.016,0.016,0.016,0.016,0.016,,
217,0.015,0.015,0.015,0.015,0.015,,
218,0.012,0.012,0.012,0.012,0.012,,
219,0.014,0.014,0.014,0.014,0.014,,
220,0.013,0.013,0.013,0.013,0.013,,
221,0.013,0.013,0.013,0.013,0.013,,
222,0.013,0.013,0.013,0.013,0.013,,
